Epsilon,CleanAcc,AdvAcc,ASR,LPIPS
0.01568627450980392,0.8656,0.2237,0.7597042513863216,0.00012185398732014354
0.03137254901960784,0.8399,0.2449,0.7315156566257888,0.0005394028263207808
0.047058823529411764,0.8153,0.2612,0.7149515515761069,0.0012203320327415308
